Indicators,Year ,Month,Value
Business Expectations of Nebraska Business,2016,11,53.49
Business Expectations of Nebraska Business,2016,12,58.27
Business Expectations of Nebraska Business,2017,1,56.26
Business Expectations of Nebraska Business,2017,2,60.61
Business Expectations of Nebraska Business,2017,3,58.23
Business Expectations of Nebraska Business,2017,4,59.68
Business Expectations of Nebraska Business,2017,5,59.68
Business Expectations of Nebraska Business,2017,6,58.47
Business Expectations of Nebraska Business,2017,7,51.92
Business Expectations of Nebraska Business,2017,8,54.86
Business Expectations of Nebraska Business,2017,9,56.02
Business Expectations of Nebraska Business,2017,10,54.19
Business Expectations of Nebraska Business,2017,11,57.42
Business Expectations of Nebraska Business,2017,12,55.16
Business Expectations of Nebraska Business,2018,1,59.77
Business Expectations of Nebraska Business,2018,2,56.89
Business Expectations of Nebraska Business,2018,3,61.15
Business Expectations of Nebraska Business,2018,4,56.88
Business Expectations of Nebraska Business,2018,5,55.62
Single-Family Building Permits,2001,1,90.82
Single-Family Building Permits,2001,2,76.04
Single-Family Building Permits,2001,3,90.3
Single-Family Building Permits,2001,4,88.29
Single-Family Building Permits,2001,5,101.83
Single-Family Building Permits,2001,6,99.73
Single-Family Building Permits,2001,7,88.24
Single-Family Building Permits,2001,8,91.9
Single-Family Building Permits,2001,9,83.94
Single-Family Building Permits,2001,10,79.94
Single-Family Building Permits,2001,11,95.94
Single-Family Building Permits,2001,12,85.32
Single-Family Building Permits,2002,1,99.69
Single-Family Building Permits,2002,2,106.52
Single-Family Building Permits,2002,3,94.7
Single-Family Building Permits,2002,4,101.33
Single-Family Building Permits,2002,5,96.34
Single-Family Building Permits,2002,6,88.86
Single-Family Building Permits,2002,7,103.08
Single-Family Building Permits,2002,8,96.06
Single-Family Building Permits,2002,9,104.69
Single-Family Building Permits,2002,10,112.24
Single-Family Building Permits,2002,11,114.17
Single-Family Building Permits,2002,12,108.13
Single-Family Building Permits,2003,1,112.58
Single-Family Building Permits,2003,2,114.69
Single-Family Building Permits,2003,3,111.15
Single-Family Building Permits,2003,4,119.42
Single-Family Building Permits,2003,5,119.3
Single-Family Building Permits,2003,6,122.94
Single-Family Building Permits,2003,7,134.02
Single-Family Building Permits,2003,8,94.43
Single-Family Building Permits,2003,9,125.56
Single-Family Building Permits,2003,10,135.22
Single-Family Building Permits,2003,11,117.47
Single-Family Building Permits,2003,12,140.14
Single-Family Building Permits,2004,1,122.15
Single-Family Building Permits,2004,2,125.59
Single-Family Building Permits,2004,3,154.96
Single-Family Building Permits,2004,4,142.64
Single-Family Building Permits,2004,5,121.21
Single-Family Building Permits,2004,6,139.74
Single-Family Building Permits,2004,7,121.19
Single-Family Building Permits,2004,8,133.41
Single-Family Building Permits,2004,9,130.27
Single-Family Building Permits,2004,10,120.1
Single-Family Building Permits,2004,11,134.03
Single-Family Building Permits,2004,12,150.63
Single-Family Building Permits,2005,1,108.02
Single-Family Building Permits,2005,2,132.73
Single-Family Building Permits,2005,3,171.18
Single-Family Building Permits,2005,4,117.05
Single-Family Building Permits,2005,5,132.35
Single-Family Building Permits,2005,6,124.04
Single-Family Building Permits,2005,7,130.18
Single-Family Building Permits,2005,8,123.72
